Household,State,No.of.Bedrooms,Monthly.Payment,Type.of.Payment,12-month.HH.Income
1,Michiagn,2,880,Rent,11200
2,Michiagn,3,990,Mortgage,80800
3,Michiagn,4,750,Mortgage,87600
4,Michiagn,3,1400,Mortgage,94000
5,Michiagn,4,1400,Mortgage,97000
6,Michiagn,1,560,Rent,6000
7,Michiagn,4,900,Mortgage,95000
8,Michiagn,2,0,None,39000
9,Michiagn,1,380,Rent,24370
10,Michiagn,2,910,Rent,54500
11,Michiagn,3,1200,Mortgage,74400
12,Michiagn,2,1200,Rent,18000
13,Michiagn,3,450,Mortgage,35000
14,Michiagn,3,1200,Mortgage,67000
15,Michiagn,4,1300,Mortgage,78000
16,Michiagn,5,550,Mortgage,44100
17,Michiagn,1,340,Rent,13300
18,Michiagn,5,770,Mortgage,286800
19,Michiagn,3,700,Rent,96000
20,Michiagn,3,700,Mortgage,74060
21,Michiagn,3,0,None,21600
22,Michiagn,2,0,None,30200
23,Michiagn,3,0,None,69000
24,Michiagn,3,140,Rent,7800
25,Michiagn,1,220,Rent,10600
26,Michiagn,2,0,None,13000
27,Michiagn,1,650,Rent,30000
28,Michiagn,4,5200,Mortgage,358000
29,Michiagn,4,0,None,34800
30,Michiagn,3,970,Mortgage,63000
31,Michiagn,1,740,Rent,5400
32,Michiagn,2,500,Rent,32520
33,Michiagn,3,700,Mortgage,66800
34,Michiagn,3,1800,Mortgage,90000
35,Michiagn,2,800,Mortgage,56000
36,Michiagn,2,1200,Mortgage,13700
37,Michiagn,3,1000,Mortgage,102100
38,Indiana,4,1200,Mortgage,55000
39,Indiana,2,200,Mortgage,46000
40,Indiana,3,710,Mortgage,32000
41,Indiana,4,1100,Mortgage,64300
42,Indiana,3,400,Rent,19400
43,Indiana,3,370,Mortgage,70001
44,Indiana,1,670,Rent,26800
45,Indiana,0,350,Rent,2400
46,Indiana,3,510,Mortgage,31000
47,Indiana,4,0,None,129200
48,Indiana,4,900,Mortgage,149000
49,Indiana,3,0,None,60200
50,Indiana,3,340,Mortgage,50000
51,Indiana,1,440,Mortgage,25400
52,Indiana,2,1500,Mortgage,330000
53,Indiana,4,0,None,28920
54,Indiana,3,420,Mortgage,64200
55,Indiana,1,490,Rent,16800
56,Indiana,3,2400,Mortgage,45000
57,Indiana,4,0,None,112600
58,Indiana,3,500,Mortgage,65100
59,Indiana,4,200,Mortgage,38300
60,Indiana,3,670,Mortgage,68700
61,Indiana,1,760,Rent,60500
62,Indiana,3,720,Mortgage,56000
63,Indiana,3,0,None,24000
64,Indiana,3,500,Mortgage,29700
65,Indiana,1,280,Rent,9500
66,Indiana,2,190,Mortgage,18320
67,Indiana,4,1000,Mortgage,65000
68,Indiana,2,250,Rent,27000
69,Indiana,3,700,Rent,57000
70,Indiana,1,380,Mortgage,32000
71,Indiana,3,740,Mortgage,65300
72,Indiana,3,0,None,19400
73,Indiana,3,850,Mortgage,67000
74,Indiana,3,530,Mortgage,36200
75,Indiana,3,290,Mortgage,119400
76,Indiana,3,230,Mortgage,86824
