"","V1","V2"
"1",1,6
"2",2,7
"3",2,7
"4",1,7
"5",1,3
"6",2,1
"7",2,6
"8",1,1
"9",2,7
"10",1,1
"11",1,6
"12",2,1
"13",2,7
"14",1,7
"15",1,5
"16",1,7
"17",1,1
"18",2,6
"19",2,6
"20",1,1
"21",1,6
"22",1,7
"23",1,7
"24",1,7
"25",1,4
"26",2,7
"27",2,7
"28",1,5
"29",2,5
"30",2,7
"31",1,7
"32",1,7
"33",2,7
"34",1,7
"35",1,6
"36",1,7
"37",2,7
"38",2,7
"39",2,3
"40",2,7
"41",2,7
"42",2,7
"43",1,7
"44",2,4
"45",2,7
"46",2,7
"47",2,6
"48",2,7
"49",2,1
"50",2,7
"51",1,7
"52",2,7
"53",2,4
"54",2,7
"55",1,7
"56",1,3
"57",2,6
"58",1,7
"59",2,7
"60",2,7
"61",2,7
"62",1,7
"63",1,7
"64",2,7
"65",1,7
"66",1,5
"67",2,6
"68",2,7
"69",2,7
"70",2,7
"71",1,7
"72",1,7
"73",2,7
"74",2,3
"75",1,7
"76",1,7
"77",2,7
"78",1,7
"79",2,7
"80",2,7
"81",1,7
"82",1,6
"83",2,7
"84",1,6
"85",1,5
"86",1,7
"87",2,7
"88",2,7
"89",2,7
"90",1,7
"91",1,7
"92",1,4
"93",1,4
"94",2,7
"95",2,7
"96",2,5
"97",2,4
"98",1,4
"99",2,7
"100",2,7
"101",2,7
"102",1,1
"103",1,6
"104",2,7
"105",2,3
"106",1,7
"107",1,7
"108",2,7
"109",1,6
"110",1,7
"111",1,7
"112",2,7
"113",2,7
"114",2,4
"115",2,7
"116",1,7
"117",1,1
"118",1,4
"119",2,7
"120",2,7
"121",2,7
"122",2,6
"123",2,3
"124",2,7
"125",2,4
"126",1,7
"127",2,5
"128",1,7
"129",2,5
"130",1,7
"131",2,7
"132",2,5
"133",2,7
"134",2,7
"135",1,4
"136",2,7
"137",1,7
"138",2,7
"139",2,7
"140",2,7
"141",2,7
"142",2,5
